DATE,UTSTHPI
1975-01-01,56.9325000000000000
1976-01-01,62.9725000000000000
1977-01-01,72.4225000000000000
1978-01-01,85.6625000000000000
1979-01-01,97.5650000000000000
1980-01-01,101.5475000000000000
1981-01-01,108.6950000000000000
1982-01-01,110.2250000000000000
1983-01-01,113.5800000000000000
1984-01-01,113.2425000000000000
1985-01-01,116.0350000000000000
1986-01-01,118.5375000000000000
1987-01-01,115.8775000000000000
1988-01-01,112.8525000000000000
1989-01-01,114.4275000000000000
1990-01-01,118.1225000000000000
1991-01-01,125.0250000000000000
1992-01-01,133.1800000000000000
1993-01-01,147.7175000000000000
1994-01-01,172.3000000000000000
1995-01-01,192.5100000000000000
1996-01-01,209.1975000000000000
1997-01-01,222.0275000000000000
1998-01-01,233.3900000000000000
1999-01-01,236.1825000000000000
2000-01-01,238.5825000000000000
2001-01-01,248.9225000000000000
2002-01-01,252.2250000000000000
2003-01-01,256.4275000000000000
2004-01-01,264.4375000000000000
2005-01-01,289.8175000000000000
2006-01-01,335.4725000000000000
2007-01-01,376.4350000000000000
2008-01-01,371.6450000000000000
2009-01-01,342.1750000000000000
2010-01-01,320.9175000000000000
2011-01-01,303.7350000000000000
2012-01-01,308.3850000000000000
2013-01-01,329.6725000000000000
2014-01-01,348.8400000000000000
2015-01-01,368.2100000000000000
2016-01-01,394.8150000000000000
2017-01-01,429.0700000000000000
2018-01-01,468.6775000000000000
2019-01-01,503.2525000000000000
2020-01-01,540.2325000000000000
2021-01-01,.
